flow_total_bytes,flow_duration_sec,flow_bytes_per_sec,ip_ttl_mean,pkt_size_mean,pkt_size_std,pkt_size_max,pkt_size_median,pkt_size_entropy,pkt_size_skewness,pkt_size_kurtosis,pkt_size_coeff_variation,pkt_size_iqr,ipt_mean,ipt_std,ipt_min,ipt_max,ipt_median,ipt_percentile_90,ipt_percentile_99,ipt_entropy,ipt_skewness,ipt_coeff_variation,ipt_iqr,ipt_autocorr_lag1,ipt_autocorr_lag2,ipt_autocorr_lag3,id_entropy,seq_entropy,payload_len_mean,payload_len_std,payload_len_entropy,label_binary,label_technique,label_protocol
2400.0,39.505398988723755,60.751190000259086,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0129589484288142,0.028933770678461004,0.9185583591461182,1.1191024780273438,1.012660264968872,1.0211581707000732,1.1002785301208495,3.6635616461296445,0.43794976087213733,0.028563616248555534,0.010737895965576172,-0.4304133432416995,-0.2750584775112352,0.34035233401372295,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.47931790351868,60.79132384873587,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.012290202654325,0.005030021517597637,1.0036375522613525,1.0204262733459473,1.0123023986816406,1.0186524391174316,1.020061068534851,3.6635616461296445,-0.03927922394932543,0.004968952089438802,0.009511351585388184,-0.05484486744724344,-0.2578052991101692,0.2862256234967058,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.449453353881836,60.83734490490321,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0115244449713292,0.00488207382696472,1.0000882148742676,1.0284926891326904,1.0114827156066895,1.0174597263336183,1.0250622463226318,3.6280156368701606,0.7951634412218695,0.0048264516505116175,0.00570523738861084,-0.15709858948031477,-0.009054015589564195,-0.07763652237695337,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.434898853302,60.85979854869187,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0111512526487694,0.005368954574746724,1.0000882148742676,1.0284926891326904,1.010791301727295,1.0171274185180663,1.0269418144226075,3.6635616461296445,0.9103476412646562,0.0053097442748376526,0.005020022392272949,-0.5467075628875078,0.07120775798866762,-0.06857652142659591,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.409164905548096,60.899539631252715,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0104914078345666,0.004759274412863026,1.00068998336792,1.0244114398956299,1.0102903842926025,1.0160463333129883,1.0226372385025024,3.6635616461296445,0.5378523433874342,0.004709861336735081,0.005169272422790527,-0.3224324610773798,0.15362077743018104,-0.23085732879263757,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.389939069747925,60.929264088231015,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0099984376858442,0.005514389240183871,0.9952600002288818,1.0274419784545898,1.0098016262054443,1.013704776763916,1.0269802856445311,3.6635616461296445,0.8179682685578351,0.005459799772382518,0.005321502685546875,-0.317592939935216,0.06676367200427025,-0.15746251189146357,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.40126967430115,60.91174268846879,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0102889660077217,0.006296292171742372,0.9932348728179932,1.0274419784545898,1.0099937915802002,1.0139336585998535,1.0269989490509033,3.6635616461296445,0.4269682356019577,0.006232169590669616,0.003947019577026367,-0.38455789013113834,-0.10638329631842186,-0.06488839747869088,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.407881021499634,60.90152370005988,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0104584877307599,0.004564198186442655,0.9932348728179932,1.0262761116027832,1.0102746486663818,1.01471848487854,1.0224347114562988,3.6635616461296445,-0.2593566239598145,0.004516957640380375,0.003863692283630371,-0.3089259206082163,0.024614056710628485,-0.09496663554017964,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.42265772819519,60.87869611803249,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0108373776460304,0.007746387543707956,0.988224983215332,1.0329525470733643,1.0106844902038574,1.0157614707946778,1.0316185665130615,3.6635616461296445,0.1927058477396296,0.007663337065896018,0.0043190717697143555,-0.419209308731795,0.029799413856215456,-0.06679120789849571,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.40935730934143,60.89924230840258,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0104963412651649,0.009548600653352501,0.9857704639434814,1.0364775657653809,1.0099053382873535,1.0171905040740967,1.0351380586624146,3.6635616461296445,0.22580875198346367,0.009449416354538633,0.003039836883544922,-0.4352079385182703,-0.05287276214844712,0.09241723939654017,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
