fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_binary,label_protocol,label_technique
1399,71,118.90577777777776,164.682039801807,1399,67,1155.0454249430154,507.3404823989776,22500,5.624293,0.0010753056356991,0.126827,0.0,0.003719928924273,5.624293,0.0062353580931263,0.176203,0.0,0.0091916063083108,36512,443,1125,133769,1261365.4729581124,298.55363354160147,54.68460399451346,1125,133769,0,UDP,0
1399,71,118.90577777777776,164.682039801807,1399,67,1155.0454249430154,507.3404823989776,22500,20.572518,0.0033500273571079,7.310855,0.0,0.1019206432198968,20.572518,0.0183029519572953,7.310855,0.0,0.2377940536045968,36512,443,1125,133769,344843.0085223404,298.55363354160147,54.68460399451346,1125,133769,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.281448,0.140724,0.281448,0.0,0.140724,0.0,0.0,0.0,0.0,0.0,49030,123,2,180,959.3246354566386,10.659162616184874,7.106108410789916,2,180,0,UDP,0
70,70,70.0,0.0,98,70,78.8,11.42628548566856,60,0.174336,0.043584,0.106989,0.0,0.0457024886795019,0.000217,0.0001085,0.000217,0.0,0.0001085,56785,53,3,210,2260.003671071953,28.680249632892806,17.208149779735685,3,210,0,UDP,0
88,88,88.0,0.0,128,88,101.33333333333331,18.856180831641264,40,0.047236,0.023618,0.047236,0.0,0.023618,0.0,0.0,0.0,0.0,0.0,37153,53,2,176,6435.769328478279,63.51088153103565,42.3405876873571,2,176,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.204221,0.1021105,0.204221,0.0,0.1021105,0.0,0.0,0.0,0.0,0.0,46212,123,2,180,1322.0971398631873,14.68996822070208,9.79331214713472,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.202893,0.1014465,0.202893,0.0,0.1014465,0.0,0.0,0.0,0.0,0.0,48606,123,2,180,1330.7506912510537,14.786118791678373,9.857412527785582,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.211102,0.105551,0.211102,0.0,0.105551,0.0,0.0,0.0,0.0,0.0,57646,123,2,180,1279.002567479228,14.21113963865809,9.474093092438723,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.206665,0.1033325,0.206665,0.0,0.1033325,0.0,0.0,0.0,0.0,0.0,38983,123,2,180,1306.4621488882976,14.51624609875886,9.677497399172577,2,180,0,UDP,0
72,72,72.0,0.0,100,72,80.8,11.42628548566856,60,0.162537,0.04063425,0.093662,0.0,0.041513909189421,0.000132,6.6e-05,0.000132,0.0,6.6e-05,45180,53,3,216,2485.587896909627,30.762226446901323,18.457335868140795,3,216,0,UDP,0
