fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_technique,label_binary,label_protocol
92,92,92.0,0.0,92,92,92.0,0.0,460,71.681744,3.258261091,5.533966,0,2.055544243,71.681744,3.258261091,5.533966,0,2.055544243,36290,9925,23,2116,29.51937107,0.320862729,0.320862729,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.681647,3.258256682,5.533998,0,2.055511797,71.681647,3.258256682,5.533998,0,2.055511797,36290,9926,23,2116,29.51941101,0.320863163,0.320863163,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.681748,3.258261273,5.53434,0,2.05554344,71.681748,3.258261273,5.53434,0,2.05554344,36290,9927,23,2116,29.51936942,0.320862711,0.320862711,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.681846,3.258265727,5.534627,0,2.055512518,71.681846,3.258265727,5.534627,0,2.055512518,36290,9928,23,2116,29.51932906,0.320862272,0.320862272,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.681776,3.258262545,5.534412,0,2.055341012,71.681776,3.258262545,5.534412,0,2.055341012,36290,9929,23,2116,29.51935789,0.320862586,0.320862586,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682391,3.2582905,5.534446,0,2.055228088,71.682391,3.2582905,5.534446,0,2.055228088,36290,9930,23,2116,29.51910463,0.320859833,0.320859833,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682579,3.258299045,5.534439,0,2.05524911,71.682579,3.258299045,5.534439,0,2.05524911,36290,9931,23,2116,29.51902721,0.320858991,0.320858991,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682564,3.258298364,5.534356,0,2.055377216,71.682564,3.258298364,5.534356,0,2.055377216,36290,9932,23,2116,29.51903339,0.320859059,0.320859059,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682683,3.258303773,5.534395,0,2.055582016,71.682683,3.258303773,5.534395,0,2.055582016,36290,9933,23,2116,29.51898438,0.320858526,0.320858526,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682157,3.258279864,5.53427,0,2.055645127,71.682157,3.258279864,5.53427,0,2.055645127,36290,9934,23,2116,29.51920099,0.32086088,0.32086088,23,2116,3,1,UDP
