iat_median,iat_variance,iat_cv,iat_entropy,iat_skewness,iat_kurtosis,fwd_iat_mean,fwd_iat_std,fwd_iat_min,fwd_iat_max,bwd_iat_mean,bwd_iat_std,bwd_iat_min,bwd_iat_max,pkt_rate,pkt_len_mean,pkt_len_std,pkt_len_max,pkt_len_median,pkt_len_entropy,fwd_pkt_len_std,syn_count,ack_count,psh_count,fin_count,rst_count,win_size_mean,win_size_std,win_size_max,win_size_entropy,win_size_changes,seq_std_increment,seq_entropy,seq_large_jumps,ack_unique_count,checksum_entropy,checksum_uniqueness_ratio,retransmission_count,segment_not_captured_count,pkt_len_cv,label_technique,label_binary,label_protocol
0.0011689539999792,4.542865701673006e-07,0.5612858614203141,2.947702779208549,0.5512353274111811,-0.1744379017824071,0.0012008281111124,0.0006740078413247,0.000164643000005,0.0025906770000005,0.0,0.0,0.0,0.0,925.287306333992,66.0,0.0,66.0,66.0,0.0,0.0,0,10,0,0,0,44915.2,43277.685882680926,109184.0,3.1219280948743777,9,84.70835952159331,2.4193819456377152,0,7.0,3.3219280948729355,0.9999999999,0,0,0.0,0,0,TCP
0.0005198599999971,1.3071883684088013e-06,1.0545124639053514,2.4193819456377152,1.4027996768364102,0.9418018094342332,0.0010842198888888,0.0011433233875018,1.740000072913972e-07,0.0038383439999876,0.0,0.0,0.0,0.0,1024.8022644031098,66.0,0.0,66.0,66.0,0.0,0.0,0,10,0,0,0,512588.8,85663.2997505933,617472.0,2.9219280948758204,9,62.80677796245157,1.5304930567531545,0,10.0,3.3219280948729355,0.9999999999,0,0,0.0,0,0,TCP
0.001532467000004,6.131454315438253e-07,0.3745179005891382,2.197159723416936,0.369492413881269,-1.5099015880577202,0.0020907839999987,0.0007830360346394,0.0012014149999686,0.0034119259999556,0.0,0.0,0.0,0.0,531.4327314843055,66.0,0.0,66.0,66.0,0.0,0.0,0,10,0,0,0,48627.2,48855.82265564668,108928.0,2.1609640474350247,9,57.92800981379953,2.725480556987769,0,5.0,3.3219280948729355,0.9999999999,0,0,0.0,0,0,TCP
0.0006380020000165,5.662211400289586e-06,1.3024935151538652,1.8799649487198973,1.5761669066744486,1.342260553343806,0.0018269113333278,0.0023795401657231,1.4699998018841145e-07,0.0077301839999677,0.0,0.0,0.0,0.0,608.1910070098294,66.0,0.0,66.0,66.0,0.0,0.0,0,10,0,0,0,90982.4,34384.564499786815,121984.0,3.3219280948729355,9,179.24064794723105,2.058813890323988,0,9.0,3.3219280948729355,0.9999999999,0,0,0.0,0,0,TCP
0.0041241840000054,5.611607156797706e-06,0.6781472717776186,2.725480556987769,0.5016037483070904,-0.4896726600412604,0.0034931691111113,0.0023688831032361,0.0002420889999825,0.0083058480000204,0.0,0.0,0.0,0.0,318.08110069291024,66.0,0.0,66.0,66.0,0.0,0.0,0,10,0,0,0,1827123.2,96916.12282463636,2020096.0,3.3219280948729355,9,66.74957807237065,2.50325833476699,0,10.0,3.3219280948729355,0.9999999999,0,0,0.0,0,0,TCP
0.0024544489999982,4.06098485307278e-06,0.8786765116571252,2.1132833342876616,0.53502760935474,-0.8880759008774803,0.002293436222222,0.0020151885403288,1.9000000861524319e-07,0.0060755290000145,0.0,0.0,0.0,0.0,484.4743649352882,66.0,0.0,66.0,66.0,0.0,0.0,0,10,0,0,0,48089.6,18751.196160245352,82560.0,3.1219280948743777,9,116.56482327310997,2.50325833476699,0,10.0,3.3219280948729355,0.9999999999,0,0,0.0,0,0,TCP
0.0012731329999837,1.3737124173558704e-06,0.7039616112070294,2.50325833476699,0.4209000032434521,-1.131857782824895,0.0016649413333311,0.0011720547842809,0.0002339790000291,0.0037491479999971,0.0,0.0,0.0,0.0,667.3574706306312,66.0,0.0,66.0,66.0,0.0,0.0,0,10,0,0,0,44556.8,40956.57785704269,98560.0,3.1219280948743777,9,64.62044931084743,2.725480556987769,0,7.0,3.3219280948729355,0.9999999999,0,0,0.0,0,0,TCP
0.0028524700000218,4.774690990088229e-05,1.2444253283791786,0.5032583347727604,2.436380481371419,4.01237824477133,0.0055526946666664,0.0069099138852001,0.0024513699999886,0.0250156839999817,0.0,0.0,0.0,0.0,200.10304105996988,72.8,20.4,134.0,66.0,0.4689955935863958,20.4,0,10,1,0,0,1083724.8,21331.74436749137,1096064.0,1.3567796494412687,3,89.58174417195107,2.281036112544768,0,9.0,3.3219280948729355,0.9999999999,1,0,0.2802197802197764,0,0,TCP
0.0029279320000341,1.9532462196499816e-06,0.5925855335077249,2.197159723416936,-0.2237455100903772,-1.6194747172231283,0.0023584542222276,0.0013975858541248,0.0003240919999711,0.0040613840000105,0.0,0.0,0.0,0.0,471.1183487441859,66.0,0.0,66.0,66.0,0.0,0.0,0,10,0,0,0,53888.0,46765.28654461555,100096.0,2.6464393446609167,9,86.46700648152765,2.4193819456377152,0,6.0,3.3219280948729355,0.9999999999,0,0,0.0,0,0,TCP
0.0014532969999976,8.178588709614809e-07,0.5731147737701917,2.50325833476699,0.4171922346300362,-1.0035350554323297,0.0015779657777778,0.0009043555003213,0.0003491220000029,0.0030232969999985,0.0,0.0,0.0,0.0,704.1414006062357,66.0,0.0,66.0,66.0,0.0,0.0,0,10,0,0,0,177062.4,25262.28766838031,218368.0,3.1219280948743777,8,78.55987729743252,2.058813890323988,0,10.0,3.3219280948729355,0.9999999999,0,0,0.0,0,0,TCP
